id,code,code_name,f_code,f_time_from,f_time_to,f_price,fees,total_price,from,airport_from,to,airport_to,type,date
vna16170516021,vna,Vietnam Airlines,VN1575,2026-04-27 12:45:00,2026-04-27 14:45:00,99000,660000,759000,Hà Nội,Nội Bài (HAN),Đà Lạt,Liên Khương (DLI),Economy (EL)-A,2026-04-27
vj16170515361,vj,Vietjet,VJ770,2026-04-27 09:45:00,2026-04-27 11:35:00,909000,701900,1610900,Nha Trang,Cam Ranh (CXR),Hà Nội,Nội Bài (HAN),Eco,2026-04-27
vna16170502237,vna,Pacific Airlines,VN6517,2026-04-27 14:05:00,2026-04-27 15:10:00,49000,655000,704000,TP HCM,Tân Sơn Nhất (SGN),Phú Quốc,Phú Quốc (PQC),Economy (EL)-A,2026-04-27
vj16170542401,vj,Vietjet,VJ434,2026-04-28 14:45:00,2026-04-28 16:25:00,89000,649900,738900,Quy Nhơn,Phù Cát (UIH),Hà Nội,Nội Bài (HAN),Eco,2026-04-28
vna16170528801,vna,Vietnam Airlines,VN1341,2026-04-28 09:45:00,2026-04-28 10:55:00,69000,657000,726000,Nha Trang,Cam Ranh (CXR),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-A,2026-04-28
vna161705215119,vna,Vietnam Airlines,VN275,2026-04-28 18:00:00,2026-04-28 20:15:00,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P,2026-04-28
vj161705469318,vj,Vietjet,VJ151,2026-04-29 21:00:00,2026-04-29 23:10:00,609000,671900,1280900,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco,2026-04-29
vj16170554129,vj,Vietjet,VJ336,2026-04-29 19:15:00,2026-04-29 20:15:00,49000,645900,694900,Phú Quốc,Phú Quốc (PQC),TP HCM,Tân Sơn Nhất (SGN),Eco,2026-04-29
vna16170566951,vna,Vietnam Airlines,VN1575,2026-04-29 12:45:00,2026-04-29 14:45:00,1609000,781000,2390000,Hà Nội,Nội Bài (HAN),Đà Lạt,Liên Khương (DLI),Economy (EC)-Q,2026-04-29
vj16170592581,vj,Vietjet,VJ434,2026-04-30 14:45:00,2026-04-30 16:25:00,89000,649900,738900,Quy Nhơn,Phù Cát (UIH),Hà Nội,Nội Bài (HAN),Eco,2026-04-30
vta16170571851,vta,Vietravel Airlines,VU 757,2026-04-30 09:25:00,2026-04-30 12:00:00,390000,660000,1050000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Bregow (B) - Vé không hoàn,2026-04-30
vna16170574174,vna,Vietnam Airlines,VN1186,2026-04-30 16:55:00,2026-04-30 19:00:00,909000,711000,1620000,TP HCM,Tân Sơn Nhất (SGN),Hải Phòng,Cát Bi (HPH),Economy (EC)-R,2026-04-30
vna161705971022,vna,Vietnam Airlines,VN283,2026-05-01 20:00:00,2026-05-01 22:15:00,299000,670000,969000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Economy (EL)-P,2026-05-01
qh16170593261,qh,Bamboo Airways,QH204,2026-05-01 07:05:00,2026-05-01 09:15:00,299000,672000,971000,TP HCM,Tân Sơn Nhất (SGN),Hà Nội,Nội Bài (HAN),Eco Saver,2026-05-01
qh16170600323,qh,Bamboo Airways,QH170,2026-05-01 20:00:00,2026-05-01 21:30:00,599000,682000,1281000,TP HCM,Tân Sơn Nhất (SGN),Đà Nẵng,Đà Nẵng (DAD),Eco Saver,2026-05-01
vj16170629642,vj,Vietjet,VJ322,2026-05-02 11:05:00,2026-05-02 12:10:00,1049000,715900,1764900,Phú Quốc,Phú Quốc (PQC),TP HCM,Tân Sơn Nhất (SGN),Eco,2026-05-02
vj16170642211,vj,Vietjet,VJ771,2026-05-02 07:35:00,2026-05-02 09:15:00,709000,681900,1390900,Hà Nội,Nội Bài (HAN),Nha Trang,Cam Ranh (CXR),Eco,2026-05-02
vj16170643913,vj,Vietjet,VJ412,2026-05-02 22:00:00,2026-05-02 23:50:00,1689000,779900,2468900,Đà Lạt,Liên Khương (DLI),Hà Nội,Nội Bài (HAN),Eco,2026-05-02
qh16170649447,qh,Bamboo Airways,QH281,2026-05-03 21:15:00,2026-05-03 23:25:00,649000,687000,1336000,Hà Nội,Nội Bài (HAN),TP HCM,Tân Sơn Nhất (SGN),Eco Saver,2026-05-03
vj16170663106,vj,Vietjet,VJ312,2026-05-03 21:10:00,2026-05-03 22:35:00,469000,667900,1136900,TP HCM,Tân Sơn Nhất (SGN),Huế,Phú Bài (HUI),Eco,2026-05-03
vna16170669980,vna,Vietnam Airlines,VN1573,2026-05-03 07:45:00,2026-05-03 09:40:00,509000,671000,1180000,Hà Nội,Nội Bài (HAN),Đà Lạt,Liên Khương (DLI),Economy (EC)-E,2026-05-03
